                                                  X Mag.                                            Y Mag.                                            Z Mag.                                            
0                                                 (0.2772455,2.775558e-17)                          (0.6189394,-1.394555e-17)                         (-0.6637596,0)                                    
1                                                 (-0.3729826,5.551115e-17)                         (-0.5161214,5.750461e-17)                         (0.6685321,0)                                     
2                                                 (0.4405932,-1.94289e-16)                          (0.5066111,8.973396e-17)                          (-0.6638352,0)                                    
3                                                 (-0.457487,-6.106227e-16)                         (-0.4842783,-7.908661e-17)                        (0.6726438,0)                                     
4                                                 (0.4682012,-1.165734e-15)                         (0.4795496,-6.576579e-18)                         (-0.6696248,0)                                    
5                                                 (-0.4708502,-6.661338e-16)                        (-0.4754948,-4.812013e-17)                        (0.6711999,0)                                     
6                                                 (0.4726193,0)                                     (0.4745533,3.610225e-17)                          (-0.6706075,0)                                    
7                                                 (-0.47305,1.665335e-16)                           (-0.473846,6.587813e-17)                          (0.6708711,0)                                     
8                                                 (0.4733482,-4.499439e-18)                         (0.4736781,-8.758506e-17)                         (-0.6707664,0)                                    
9                                                 (-0.4734202,5.551115e-17)                         (-0.4735564,-2.282979e-17)                        (0.6708109,0)                                     
10                                                (0.4734709,1.994932e-17)                          (0.4735272,1.384945e-17)                          (-0.6707928,0)                                    
11                                                (-0.4734831,-4.163336e-17)                        (-0.4735064,-6.803001e-17)                        (0.6708003,0)                                     
12                                                (0.4734918,-3.572446e-17)                         (0.4735014,5.895163e-17)                          (-0.6707972,0)                                    
13                                                (-0.4734939,2.359224e-16)                         (-0.4734978,-2.736576e-18)                        (0.6707985,0)                                     
14                                                (0.4734953,3.729655e-17)                          (0.473497,-2.007444e-17)                          (-0.670798,0)                                     
15                                                (-0.4734957,2.081668e-16)                         (-0.4734964,1.460246e-17)                         (0.6707982,0)                                     
16                                                (0.4734959,-2.255141e-17)                         (0.4734962,6.875672e-17)                          (-0.6707981,0)                                    
17                                                (-0.473496,4.163336e-16)                          (-0.4734961,6.416672e-17)                         (0.6707981,0)                                     
18                                                (0.473496,-7.155734e-18)                          (0.4734961,8.158186e-17)                          (-0.6707981,0)                                    
19                                                (-0.473496,2.359224e-16)                          (-0.4734961,2.460794e-17)                         (0.6707981,0)                                     
20                                                (0.4734961,-6.353425e-17)                         (0.4734961,-7.996692e-17)                         (-0.6707981,0)                                    
21                                                (-0.4734961,3.053113e-16)                         (-0.4734961,3.958106e-17)                         (0.6707981,0)                                     
