                                                  XX Corr.                                          XY Corr.                                          XZ Corr.                                          YX Corr.                                          YY Corr.                                          YZ Corr.                                          ZX Corr.                                          ZY Corr.                                          ZZ Corr.                                          
0                                                 (1.237737e-09,9.198084e-18)                       (5.720388e-09,1.847288e-17)                       (-0.1164753,0)                                    (0.03988699,-1.040834e-17)                        (1.888842e-09,4.560057e-17)                       (-9.167822e-10,2.399291e-17)                      (-6.485445e-10,2.119695e-17)                      (-0.2977114,2.775558e-16)                         (4.394346e-09,-6.525714e-17)                      
1                                                 (5.230537e-10,1.744577e-17)                       (0.1052167,-1.040834e-17)                         (-4.51325e-09,-8.652603e-17)                      (0.0947525,-4.163336e-17)                         (2.609506e-09,-1.016267e-16)                      (-2.741122e-09,-3.741972e-17)                     (-1.467681e-10,-5.173903e-18)                     (-1.469077e-09,-2.878718e-19)                     (0.2776246,2.498002e-16)                          
2                                                 (3.495916e-09,4.645222e-17)                       (0.2893451,5.551115e-16)                          (-9.901634e-10,2.511585e-17)                      (3.81115e-09,-6.288042e-17)                       (1.367405e-09,-8.980724e-17)                      (-0.1617959,-1.595946e-16)                        (-0.2750143,9.020562e-17)                         (-2.628622e-09,1.20104e-17)                       (-1.430425e-10,-2.109163e-17)                     
3                                                 (1.426778e-09,-3.556859e-17)                      (9.045715e-10,1.282936e-16)                       (-0.4752365,-4.996004e-16)                        (1.131065e-09,1.268684e-16)                       (0.357093,-4.163336e-16)                          (-6.003159e-10,-7.023089e-17)                     (-0.4904356,-1.665335e-16)                        (1.516327e-10,-2.421445e-17)                      (1.990414e-09,-1.470267e-17)                      
4                                                 (0.6310503,3.330669e-16)                          (8.303804e-10,-0.09827795)                        (-9.839165e-10,-0.02247315)                       (8.303802e-10,0.09827795)                         (0.6252603,1.665335e-16)                          (-6.027076e-10,0.07344148)                        (-9.839164e-10,0.02247315)                        (-6.027077e-10,-0.07344148)                       (0.7436894,4.163336e-16)                          
5                                                 (0.3860059,-4.163336e-17)                         (7.158193e-10,2.055806e-17)                       (-2.359934e-09,-1.624318e-17)                     (-8.677584e-10,1.193669e-16)                      (-2.822123e-11,-1.302289e-16)                     (-0.468048,2.775558e-17)                          (-5.481334e-09,-1.15572e-17)                      (-0.4897064,6.661338e-16)                         (3.377211e-09,7.960045e-17)                       
6                                                 (2.102336e-09,-8.274274e-19)                      (1.275107e-09,-3.987828e-17)                      (-0.2003354,1.387779e-17)                         (0.2660631,6.938894e-17)                          (-3.289087e-10,-3.15555e-17)                      (2.318015e-10,3.650252e-17)                       (-3.703919e-09,1.487777e-17)                      (-0.2117485,-7.632783e-17)                        (9.351312e-09,-3.878417e-17)                      
7                                                 (6.712726e-10,-1.213489e-17)                      (0.1473402,-1.31839e-16)                          (2.241206e-09,2.011764e-17)                       (0.1405752,6.938894e-17)                          (5.419602e-10,6.532392e-17)                       (1.35903e-09,1.875104e-17)                        (-4.239918e-09,-6.970034e-17)                     (-4.573516e-09,3.795087e-17)                      (0.1901424,2.706169e-16)                          
8                                                 (-1.764642e-08,-4.093832e-18)                     (0.07341868,6.418477e-17)                         (2.511754e-10,-5.047845e-17)                      (3.684422e-10,-7.962788e-19)                      (8.074236e-09,2.797132e-17)                       (-0.1183244,1.144917e-16)                         (-0.1362639,3.469447e-17)                         (-1.010198e-08,-8.996415e-18)                     (6.948642e-09,6.829395e-17)                       
9                                                 (-4.528852e-08,-3.404047e-18)                     (-2.919463e-09,1.515467e-17)                      (-0.07249301,1.613293e-16)                        (9.726722e-09,-5.72775e-17)                       (0.08584249,0)                                    (-1.779449e-08,-3.533432e-17)                     (-0.07994698,1.387779e-17)                        (1.576254e-09,3.641591e-19)                       (2.492071e-08,-6.200316e-18)                      
