                                                  XX Corr.                                          XY Corr.                                          XZ Corr.                                          YX Corr.                                          YY Corr.                                          YZ Corr.                                          ZX Corr.                                          ZY Corr.                                          ZZ Corr.                                          
0                                                 (1.239656e-07,-4.982562e-18)                      (0.00497966,-9.107298e-18)                        (-6.04832e-08,2.455771e-17)                       (0.0009238894,1.970537e-17)                       (-1.122988e-07,-7.776478e-17)                     (-4.952503e-07,4.267251e-17)                      (-5.875302e-07,-2.78965e-19)                      (4.166191e-07,1.09854e-16)                        (0.00258987,4.727121e-17)                         
1                                                 (-2.535838e-07,-3.352596e-19)                     (-1.342284e-07,-1.328934e-17)                     (-0.004400608,6.212478e-17)                       (0.0009665516,-1.219727e-18)                      (3.36493e-07,3.881859e-18)                        (1.78583e-07,-2.765623e-17)                       (2.570959e-07,7.981962e-20)                       (-0.001684759,1.024571e-17)                       (-7.412249e-07,1.777001e-17)                      
2                                                 (0.003626605,-8.088148e-17)                       (-9.492489e-07,5.427602e-18)                      (2.642362e-07,5.748012e-18)                       (-1.247988e-07,2.470177e-17)                      (-4.906394e-08,2.236606e-17)                      (-0.001783117,6.559423e-18)                       (5.169414e-07,2.529649e-17)                       (-0.003098172,-2.84061e-17)                       (-2.119072e-07,-1.074676e-17)                     
3                                                 (0.003292027,-1.745565e-17)                       (-4.000892e-08,2.110965e-20)                      (1.338026e-06,4.955937e-18)                       (-1.465353e-07,-1.607184e-17)                     (0.001719277,-3.144186e-18)                       (1.627177e-07,5.088992e-17)                       (5.729922e-07,4.385079e-17)                       (1.21732e-07,-2.109718e-18)                       (0.003732673,-1.87567e-17)                        
4                                                 (-9.090175e-07,2.193437e-17)                      (-2.148889e-07,1.087597e-18)                      (-0.004097932,5.421011e-18)                       (-7.986664e-08,-2.850378e-17)                     (0.00321055,-1.301043e-18)                        (1.586773e-07,2.965885e-17)                       (-0.003420193,-8.456777e-18)                      (-4.980877e-09,7.174785e-18)                      (-7.328067e-07,-3.516685e-17)                     
5                                                 (-1.210434e-07,-1.346017e-17)                     (0.003651682,-1.170938e-17)                       (1.596043e-07,-3.371257e-18)                      (5.110906e-08,5.910369e-18)                       (-8.857067e-08,-1.260697e-17)                     (-0.004412537,-2.602085e-18)                      (-0.004889319,-2.298509e-17)                      (4.988168e-07,1.816197e-17)                       (5.629676e-08,7.560183e-19)                       
6                                                 (-7.681545e-08,4.428083e-18)                      (0.004969818,2.818926e-18)                        (-7.368196e-08,4.278438e-18)                      (0.004333858,-4.445229e-18)                       (7.564026e-08,9.294751e-18)                       (-1.003957e-07,5.655149e-18)                      (-8.281096e-08,1.111813e-18)                      (-3.790745e-07,9.31416e-18)                       (0.006593587,-4.77049e-18)                        
7                                                 (1.090581e-07,-2.372999e-18)                      (1.119483e-07,-3.724894e-18)                      (-0.00661346,-2.016616e-17)                       (0.007012147,-6.505213e-18)                       (5.2862e-08,-1.551379e-17)                        (-1.148616e-07,-1.15074e-17)                      (-6.238795e-08,-6.007647e-20)                     (-0.006298486,2.688821e-17)                       (6.136054e-07,-1.741026e-17)                      
8                                                 (0.006328265,-1.517883e-17)                       (3.492343e-07,-1.0011e-18)                        (-1.427986e-07,-6.373757e-19)                     (6.153683e-08,-5.550307e-18)                      (4.695452e-08,1.303249e-17)                       (-0.009681486,4.98733e-18)                        (-3.655048e-07,3.125393e-18)                      (-0.009912543,-1.12757e-17)                       (1.54557e-07,1.133118e-18)                        
9                                                 (0.009756505,-4.336809e-19)                       (7.497627e-08,-6.949131e-18)                      (-4.743571e-07,-6.23501e-18)                      (-3.246896e-08,8.091208e-19)                      (0.009476838,1.170938e-17)                        (-1.40586e-08,-1.792358e-18)                      (-5.708339e-08,4.202809e-18)                      (-7.48536e-08,-5.343517e-18)                      (0.01355713,3.035766e-18)                         
