                                                  XX Corr.                                          XY Corr.                                          XZ Corr.                                          YX Corr.                                          YY Corr.                                          YZ Corr.                                          ZX Corr.                                          ZY Corr.                                          ZZ Corr.                                          
0                                                 (4.851796e-07,5.374318e-18)                       (0.002002521,3.252607e-18)                        (-6.662731e-07,-1.199523e-17)                     (7.956936e-07,1.536846e-17)                       (6.722749e-07,4.253641e-18)                       (-0.0006480884,-3.729655e-17)                     (-0.0003266318,8.8498e-18)                        (-2.523132e-07,5.488617e-17)                      (6.41603e-07,6.074497e-18)                        
1                                                 (-2.444785e-07,-1.480984e-18)                     (1.705409e-07,1.883406e-17)                       (-0.001765057,2.537033e-17)                       (-1.817719e-07,1.623134e-18)                      (0.0004150919,3.577867e-17)                       (-2.930225e-07,-1.870588e-17)                     (-0.0003106335,-1.273938e-18)                     (-3.382541e-07,3.233293e-17)                      (1.153046e-07,3.643013e-18)                       
2                                                 (0.001445612,3.740497e-18)                        (-1.019318e-06,-8.921216e-18)                     (1.938574e-07,1.069114e-17)                       (2.212172e-08,-2.009701e-17)                      (0.0007383043,1.387779e-17)                       (8.527978e-08,-1.124291e-18)                      (-1.119052e-08,1.628405e-17)                      (1.226487e-07,-3.044096e-17)                      (0.0005807531,-5.421011e-18)                      
3                                                 (0.001274326,-1.111307e-17)                       (-5.628017e-08,2.384624e-18)                      (1.594205e-06,9.228689e-18)                       (-8.813842e-07,-3.105302e-18)                     (-1.622833e-07,-2.795692e-18)                     (-0.0008776394,1.927169e-17)                      (4.035189e-07,-1.842884e-17)                      (-0.0005492536,1.897354e-19)                      (-3.72061e-07,6.334695e-18)                       
4                                                 (-1.303655e-06,1.060671e-17)                      (-4.838564e-07,3.15758e-18)                       (-0.001572407,-2.059984e-18)                      (0.0007961894,-1.71575e-17)                       (-3.011915e-07,-4.382853e-18)                     (1.396064e-06,7.250549e-18)                       (3.089104e-07,5.180942e-17)                       (-0.001016764,-1.230569e-17)                      (-6.124025e-07,-2.526821e-17)                     
5                                                 (-1.068087e-06,-5.275956e-18)                     (0.001382578,-1.138412e-17)                       (5.884289e-07,-2.294453e-18)                      (0.001101283,-7.372575e-18)                       (-1.170067e-06,8.236601e-19)                      (3.661617e-07,2.126926e-18)                       (3.480969e-07,-5.666042e-18)                      (4.956544e-07,1.553936e-17)                       (0.001389642,3.252607e-19)                        
6                                                 (-5.068422e-07,4.278059e-18)                      (0.001821731,5.963112e-19)                        (1.340253e-06,-6.024734e-18)                      (-3.141753e-07,-4.237679e-19)                     (-1.143732e-06,1.070282e-17)                      (-0.001477723,-1.187201e-17)                      (-0.001353756,-4.445229e-18)                      (4.623714e-07,8.881048e-18)                       (-4.335946e-07,1.145871e-17)                      
7                                                 (-1.702267e-07,1.160594e-18)                      (-9.092267e-07,-1.864267e-18)                     (-0.002408407,-1.355253e-18)                      (-2.37207e-07,3.486546e-18)                       (0.001396731,-3.469447e-18)                       (1.437616e-06,7.414291e-18)                       (-0.002154464,2.710505e-19)                       (2.978504e-07,1.420408e-18)                       (-5.690826e-07,1.48436e-17)                       
8                                                 (0.002275236,-2.385245e-18)                       (-3.861725e-07,4.625991e-19)                      (2.238051e-07,2.282377e-18)                       (-1.062011e-06,-4.180902e-19)                     (0.002152115,1.192622e-18)                        (3.035329e-07,-4.792698e-18)                      (3.930462e-07,-2.303807e-17)                      (1.724279e-07,-1.10156e-18)                       (0.002963165,6.938894e-18)                        
9                                                 (0.003434359,-6.613633e-18)                       (-1.299567e-07,-2.1152e-18)                       (2.832792e-07,1.876979e-18)                       (-4.429595e-07,7.67257e-18)                       (-1.882437e-07,2.502063e-18)                      (-0.002931509,1.192622e-18)                       (1.061712e-07,3.993552e-18)                       (-0.002869592,-2.493665e-18)                      (-1.591519e-07,-5.076222e-18)                     
