                                                  XX Corr.                                          XY Corr.                                          XZ Corr.                                          YX Corr.                                          YY Corr.                                          YZ Corr.                                          ZX Corr.                                          ZY Corr.                                          ZZ Corr.                                          
0                                                 (5.403361e-10,-1.694841e-17)                      (0.4781137,9.714451e-17)                          (-4.05672e-10,8.006859e-20)                       (4.913731e-10,-1.576698e-17)                      (4.229134e-09,2.60862e-17)                        (-0.1645266,-1.94289e-16)                         (-0.1349277,6.938894e-18)                         (-9.225895e-10,2.133943e-17)                      (2.273236e-09,-1.559903e-17)                      
1                                                 (2.071814e-10,-1.425314e-17)                      (-8.011475e-10,2.587461e-17)                      (-0.5395569,-5.134781e-16)                        (2.669522e-10,1.720178e-17)                       (0.2937139,-4.163336e-16)                         (-3.975269e-09,-6.74813e-17)                      (-0.3566523,1.387779e-16)                         (-1.137916e-09,2.915462e-17)                      (7.161728e-10,5.072565e-17)                       
2                                                 (0.6638038,2.775558e-17)                          (1.697716e-09,-0.03353232)                        (-4.030157e-10,-0.09812772)                       (1.697715e-09,0.03353232)                         (0.6454517,5.828671e-16)                          (-3.856896e-10,0.1457186)                         (-4.030158e-10,0.09812772)                        (-3.856893e-10,-0.1457186)                        (0.6907445,-3.330669e-16)                         
3                                                 (0.452644,-8.326673e-16)                          (1.023831e-09,2.320312e-17)                       (-3.52831e-09,3.429855e-18)                       (1.169004e-09,-4.198163e-17)                      (1.054225e-09,3.299896e-17)                       (-0.511011,2.63678e-16)                           (3.276339e-10,-1.7211e-16)                        (-0.4477509,-3.330669e-16)                        (3.094654e-10,-2.74163e-16)                       
4                                                 (3.495916e-09,-2.360168e-18)                      (3.81115e-09,3.863472e-17)                        (-0.2750143,3.469447e-17)                         (0.2893451,5.134781e-16)                          (1.367405e-09,4.553432e-19)                       (-2.628622e-09,3.179484e-17)                      (-9.901634e-10,1.269451e-16)                      (-0.1617959,-1.665335e-16)                        (-1.430425e-10,2.390559e-17)                      
5                                                 (1.481942e-08,-7.124121e-17)                      (0.2045801,-2.775558e-17)                         (-6.255991e-09,2.01454e-17)                       (0.159483,2.220446e-16)                           (7.652735e-09,5.208495e-18)                       (-4.23029e-09,2.711731e-17)                       (-8.65307e-10,9.853252e-17)                       (5.988662e-09,-3.499116e-17)                      (0.1402526,-3.122502e-17)                         
6                                                 (7.635717e-09,-7.50159e-17)                       (0.1139344,5.89806e-17)                           (-3.72292e-08,-4.893191e-18)                      (1.308713e-08,-1.433566e-17)                      (7.593763e-09,-4.332911e-18)                      (-0.1376315,-4.510281e-17)                        (-0.09887313,4.163336e-17)                        (1.188985e-08,8.321776e-19)                       (-2.499227e-10,-1.130418e-16)                     
7                                                 (3.5894e-08,-4.657325e-18)                        (-1.302841e-08,-8.619597e-18)                     (-0.1178264,3.469447e-18)                         (-1.036147e-08,2.467193e-17)                      (0.1004134,-4.857226e-17)                         (-1.712326e-08,-2.563221e-17)                     (-0.05562757,3.469447e-17)                        (1.557014e-08,7.80536e-17)                        (4.708522e-10,2.882544e-17)                       
8                                                 (0.08533325,3.469447e-18)                         (-5.289729e-08,7.437844e-18)                      (9.69808e-09,5.355319e-17)                        (-1.30237e-08,-2.338156e-18)                      (0.05711942,-1.561251e-17)                        (3.813829e-08,3.095251e-17)                       (-1.962109e-10,-1.732383e-17)                     (5.159949e-09,5.421632e-17)                       (0.05393998,-5.030698e-17)                        
9                                                 (0.05550888,2.428613e-17)                         (-2.337336e-08,-3.53592e-17)                      (5.662882e-08,-4.147873e-17)                      (1.606204e-08,4.969485e-17)                       (-2.915411e-08,4.415209e-18)                      (-0.05787245,-1.561251e-17)                       (2.075373e-08,-1.926617e-18)                      (-0.03899199,-5.464379e-17)                       (-2.726103e-08,-5.585014e-17)                     
10                                                (1.44438e-08,1.359029e-17)                        (8.891114e-08,-2.717841e-17)                      (-0.05752577,-5.030698e-17)                       (0.04178736,-2.255141e-17)                        (2.38428e-09,-4.966325e-18)                       (4.9401e-09,-2.321942e-17)                        (5.186792e-08,5.563899e-17)                       (-0.02322166,2.602085e-17)                        (-3.718916e-08,2.246777e-18)                      
