                                                  XX Corr.                                          XY Corr.                                          XZ Corr.                                          YX Corr.                                          YY Corr.                                          YZ Corr.                                          ZX Corr.                                          ZY Corr.                                          ZZ Corr.                                          
0                                                 (5.748808e-07,2.372359e-17)                       (-1.037574e-07,-1.40798e-16)                      (-0.001260383,4.428966e-17)                       (2.306195e-07,-3.689093e-18)                      (0.003877917,2.569559e-17)                        (-1.951941e-07,-2.22182e-17)                      (-0.0006400068,-4.092863e-18)                     (4.221218e-08,2.952424e-17)                       (6.43187e-07,5.395772e-17)                        
1                                                 (-2.264826e-07,2.447263e-18)                      (0.0008141393,-1.029992e-17)                      (4.056232e-07,-1.830904e-17)                      (-2.617654e-07,-6.306756e-19)                     (-7.384029e-08,8.283206e-18)                      (-0.003424023,-3.91397e-17)                       (-0.000638657,-5.692061e-19)                      (-3.803868e-07,-4.743345e-18)                     (-1.458197e-07,6.43809e-17)                       
2                                                 (-4.11409e-07,4.659193e-17)                       (0.001475187,1.572093e-18)                        (1.993709e-07,3.105104e-18)                       (0.002815963,-2.829768e-17)                       (-1.060564e-06,2.836467e-17)                      (2.594941e-07,-2.044777e-18)                      (1.484244e-07,-4.138649e-18)                      (1.175435e-07,7.809267e-18)                       (0.001185773,-8.267042e-18)                       
3                                                 (-8.658133e-07,-3.181699e-17)                     (-1.706751e-07,4.116527e-18)                      (-0.001766695,-1.257675e-17)                      (0.002531746,-2.677979e-17)                       (-4.042533e-08,4.229571e-18)                      (1.518181e-06,1.346941e-17)                       (3.644452e-07,2.708068e-17)                       (-0.001132522,4.662069e-18)                       (-3.316941e-07,3.468984e-18)                      
4                                                 (0.001611754,-5.583641e-18)                       (-1.968021e-07,2.608987e-18)                      (1.224093e-06,-3.032817e-17)                      (-1.089871e-06,2.775139e-17)                      (-2.945465e-07,-1.521351e-19)                     (-0.003142542,4.217546e-17)                       (2.280814e-07,-8.92561e-20)                       (-0.002103706,-6.505213e-18)                      (-4.890417e-07,-4.697473e-18)                     
5                                                 (0.002269449,-1.317306e-17)                       (-9.129421e-07,-4.486045e-18)                     (1.935209e-07,4.962991e-18)                       (-3.654661e-07,1.586012e-17)                      (0.002788057,1.951564e-17)                        (2.732593e-07,-1.131848e-19)                      (1.018158e-07,1.350025e-17)                       (3.320449e-07,-1.375432e-17)                      (0.002883707,-6.396793e-18)                       
6                                                 (-1.347944e-07,-1.960097e-18)                     (-3.177061e-07,6.19193e-18)                       (-0.003054513,-3.295975e-17)                      (-1.777209e-07,5.845493e-18)                      (0.00375451,-4.662069e-18)                        (2.661035e-07,1.353991e-17)                       (-0.00281808,9.432559e-18)                        (7.321623e-08,-7.254217e-18)                      (-8.422791e-08,1.960221e-17)                      
7                                                 (-4.714526e-08,4.925207e-18)                      (0.002901982,-9.432559e-18)                       (2.734959e-07,2.848042e-17)                       (8.445599e-08,-4.901747e-18)                      (-1.123596e-07,2.255755e-18)                      (-0.004985696,-6.071532e-18)                      (-0.004521378,-5.312591e-18)                      (3.910272e-08,-1.5062e-17)                        (-2.915767e-08,5.204424e-18)                      
8                                                 (-1.525323e-07,-7.756089e-18)                     (0.004528358,-8.348357e-18)                       (3.838064e-09,4.801886e-18)                       (0.004749581,-8.456777e-18)                       (3.012181e-07,-9.398228e-19)                      (-1.140205e-07,-8.657438e-19)                     (-2.096538e-08,-9.82609e-18)                      (-8.011751e-08,-6.626974e-19)                     (0.006226147,1.517883e-18)                        
9                                                 (2.907758e-07,-3.576299e-18)                      (5.868205e-09,1.424237e-18)                       (-0.00617708,-7.372575e-18)                       (0.00726908,7.806256e-18)                         (5.669982e-08,-2.886842e-18)                      (-4.635077e-07,4.92547e-18)                       (-2.034415e-07,6.974509e-18)                      (-0.00606094,-5.421011e-18)                       (1.189699e-07,1.138528e-17)                       
