                                                  XX Corr.                                          XY Corr.                                          XZ Corr.                                          YX Corr.                                          YY Corr.                                          YZ Corr.                                          ZX Corr.                                          ZY Corr.                                          ZZ Corr.                                          
0                                                 (0.007139569,3.187554e-17)                        (-5.271936e-08,-3.966511e-17)                     (-2.658321e-07,-3.778901e-17)                     (-5.17081e-08,9.810701e-18)                       (0.03629272,8.413409e-17)                         (-7.034977e-09,1.610552e-17)                      (2.394925e-07,-1.982932e-17)                      (-1.246668e-07,-2.510424e-17)                     (0.01927628,2.428613e-17)                         
1                                                 (0.009478208,-6.722053e-18)                       (1.623069e-07,-4.813983e-17)                      (-7.251262e-08,-8.336284e-17)                     (-4.15846e-08,1.506048e-19)                       (-1.320791e-08,1.389113e-18)                      (-0.03242838,2.862294e-17)                        (1.870674e-07,-2.166412e-18)                      (-0.01315892,-9.107298e-18)                       (2.477744e-07,-2.939065e-17)                      
2                                                 (4.193677e-08,-1.856397e-17)                      (1.826538e-08,-1.84221e-17)                       (-0.01699418,5.637851e-18)                        (0.02741201,-4.336809e-17)                        (1.489008e-07,4.604256e-17)                       (-2.645714e-08,1.325579e-17)                      (-1.872682e-07,-1.514396e-17)                     (-0.02673842,-1.734723e-18)                       (-3.532666e-08,-5.040759e-18)                     
3                                                 (-1.188872e-08,-2.436669e-18)                     (0.01739811,-9.540979e-18)                        (-3.181897e-08,2.740996e-17)                      (0.0280526,4.597017e-17)                          (-3.271368e-08,4.996151e-18)                      (-9.897511e-08,-8.538026e-19)                     (-2.369723e-08,-3.162331e-18)                     (8.959467e-08,-2.414197e-17)                      (0.0333711,-9.540979e-18)                         
4                                                 (3.512369e-08,-7.034743e-18)                      (0.03349417,-1.994932e-17)                        (-2.387484e-08,-2.117239e-17)                     (6.114354e-08,-9.14205e-18)                       (-2.205557e-09,4.192414e-18)                      (-0.03594426,-9.540979e-18)                       (-0.03175559,7.806256e-18)                        (4.429203e-08,4.812333e-18)                       (-5.294412e-08,-3.883456e-17)                     
5                                                 (-7.744239e-09,8.563609e-19)                      (3.432146e-08,1.038166e-17)                       (-0.04710934,-8.673617e-18)                       (2.466057e-08,-1.027226e-17)                      (0.03421701,7.806256e-18)                         (-1.138116e-08,-5.144782e-18)                     (-0.0504158,0)                                    (-3.606418e-08,-1.632433e-17)                     (-4.662725e-09,-1.408464e-17)                     
6                                                 (0.04789643,1.214306e-17)                         (3.378257e-09,1.929055e-17)                       (-5.367515e-09,-2.970468e-17)                     (3.421585e-08,-2.272974e-17)                      (0.05182975,3.642919e-17)                         (-4.698583e-08,-8.713357e-18)                     (7.858608e-09,1.140435e-17)                       (-4.60926e-08,3.466891e-18)                       (0.06918429,3.469447e-17)                         
7                                                 (0.08886338,9.714451e-17)                         (-1.169873e-08,-2.947824e-17)                     (4.519185e-09,-4.391374e-18)                      (9.41265e-09,-1.825022e-17)                       (-6.753465e-09,1.643883e-17)                      (-0.07181565,2.94903e-17)                         (8.882144e-09,-6.584777e-18)                      (-0.07005027,-4.683753e-17)                       (-5.776333e-09,3.196523e-17)                      
8                                                 (-7.084857e-09,-2.455424e-17)                     (-9.625488e-09,3.842113e-17)                      (-0.1227503,9.367507e-17)                         (0.0730962,2.428613e-17)                          (-1.259485e-08,-1.398791e-17)                     (6.991288e-10,7.750224e-17)                       (-2.601015e-09,2.67566e-17)                       (-0.1242347,-6.938894e-18)                        (2.364045e-09,7.842826e-17)                       
9                                                 (-1.570569e-10,6.531665e-17)                      (0.1461275,1.734723e-17)                          (-1.741904e-09,1.072097e-17)                      (0.1475485,-6.938894e-17)                         (-2.181125e-09,-1.28242e-17)                      (-3.639485e-09,4.85519e-17)                       (-6.53957e-09,4.190688e-17)                       (-1.484294e-09,1.118673e-17)                      (0.1741906,2.081668e-17)                          
