                                                  X Mag.                                            Y Mag.                                            Z Mag.                                            
0                                                 (-0.2888741,1.387779e-17)                         (-0.09869172,-1.398621e-17)                       (-0.4357483,0)                                    
1                                                 (0.1742379,-5.551115e-17)                         (0.0595271,1.766318e-17)                          (0.2628268,0)                                     
2                                                 (-0.2026592,9.714451e-17)                         (-0.06923706,-1.772998e-17)                       (-0.3056987,0)                                    
3                                                 (0.143971,-6.938894e-17)                          (0.04918663,1.660222e-17)                         (0.2171711,0)                                     
4                                                 (-0.1424899,0)                                    (-0.04868065,-2.159247e-17)                       (-0.214937,0)                                     
5                                                 (0.1085601,-1.387779e-16)                         (0.03708877,-3.547547e-17)                        (0.163756,0)                                      
6                                                 (-0.1006996,-3.577867e-18)                        (-0.03440328,5.234499e-17)                        (-0.151899,0)                                     
7                                                 (0.07976366,5.551115e-17)                         (0.02725068,-1.471545e-17)                        (0.1203184,0)                                     
8                                                 (-0.07150296,1.162265e-16)                        (-0.02442847,-2.870965e-17)                       (-0.1078577,0)                                    
9                                                 (0.0579857,5.030698e-17)                          (0.0198104,2.834544e-17)                          (0.08746767,0)                                    
10                                                (-0.05094795,-1.613293e-16)                       (-0.01740601,-3.99135e-17)                        (-0.07685164,0)                                   
11                                                (0.04193391,-6.938894e-18)                        (0.01432643,-6.583518e-17)                        (0.06325447,0)                                    
12                                                (-0.03638868,1.353084e-16)                        (-0.01243195,2.62097e-19)                         (-0.05488977,0)                                   
13                                                (0.03023893,-1.249001e-16)                        (0.01033094,3.505007e-17)                         (0.04561319,0)                                    
14                                                (-0.02603185,3.434752e-16)                        (-0.008893621,5.868607e-17)                       (-0.03926699,0)                                   
15                                                (0.02176902,6.036838e-16)                         (0.007437265,1.098203e-17)                        (0.03283669,0)                                    
16                                                (-0.0186429,-6.071532e-17)                        (-0.006369255,6.913453e-18)                       (-0.02812102,0)                                   
17                                                (0.01565546,3.469447e-17)                         (0.005348629,-1.254264e-17)                       (0.02361453,0)                                    
18                                                (-0.01336102,6.591949e-17)                        (-0.00456476,-4.56808e-17)                        (-0.02015336,0)                                   
19                                                (0.01125161,1.491862e-16)                         (0.003844109,-3.680829e-17)                       (0.01697128,0)                                    
20                                                (-0.009580443,-6.938894e-18)                      (-0.003273181,-7.052765e-17)                      (-0.01445022,0)                                   
21                                                (0.008083366,-5.551115e-17)                       (0.002761733,-4.247578e-17)                       (0.01219173,0)                                    
22                                                (-0.006872138,-2.532696e-16)                      (-0.002347945,-3.157887e-17)                      (-0.01036439,0)                                   
23                                                (0.005805957,-4.857226e-17)                       (0.001983716,2.673565e-17)                        (0.008755793,0)                                   
24                                                (-0.004930948,-2.081668e-16)                      (-0.001684804,-4.585553e-18)                      (-0.007435507,0)                                  
25                                                (0.004169889,-6.938894e-18)                       (0.001424827,-3.360329e-17)                       (0.006287038,0)                                   
